GENERATION_PROJECT	timepoint	gen_max_capacity_factor
Camp_Springs_Wind_1	2	1
Camp_Springs_Wind_2	1	1
Camp_Springs_Wind_2	2	1
Capricorn_Ridge_Wind_1	1	1
Capricorn_Ridge_Wind_1	2	1
Capricorn_Ridge_Wind_2	1	1
Capricorn_Ridge_Wind_2	2	1
Capricorn_Ridge_Wind_3	1	1
Capricorn_Ridge_Wind_3	2	1
Capricorn_Ridge_Wind_4	1	1
Capricorn_Ridge_Wind_4	2	1
Cedro_Hill_Wind_1	1	1
Cedro_Hill_Wind_1	2	1
Cedro_Hill_Wind_2	1	1
Cedro_Hill_Wind_2	2	1
Champion_Wind_Farm	1	1
Champion_Wind_Farm	2	1
Desert_Sky_Wind_Farm_1	1	1
Desert_Sky_Wind_Farm_1	2	1
Desert_Sky_Wind_Farm_2	1	1
Desert_Sky_Wind_Farm_2	2	1
Elbow_Creek_Wind	1	1
Elbow_Creek_Wind	2	1
Forest_Creek_Wind_Farm	1	1
Forest_Creek_Wind_Farm	2	1
Goat_Wind	1	1
Goat_Wind	2	1
Goat_Wind_2	1	1
Goat_Wind_2	2	1
Goldthwaite_Wind_1	1	1
Goldthwaite_Wind_1	2	1
Grandview_1_(Conway)_GV1A	1	1
Grandview_1_(Conway)_GV1A	2	1
Grandview_1_(Conway)_GV1B	1	1
Grandview_1_(Conway)_GV1B	2	1
Green_Mountain_Wind_(Brazos)_U1	1	1
Green_Mountain_Wind_(Brazos)_U1	2	1
Green_Mountain_Wind_(Brazos)_U2	1	1
Green_Mountain_Wind_(Brazos)_U2	2	1
Green_Pastures_Wind_1	1	1
Green_Pastures_Wind_1	2	1
Green_Pastures_Wind_2	1	1
Green_Pastures_Wind_2	2	1
Hackberry_Wind_Farm	1	1
Hackberry_Wind_Farm	2	1
Hereford_Wind_G	1	1
Hereford_Wind_G	2	1
Hereford_Wind_V	1	1
Hereford_Wind_V	2	1
Horse_Hollow_Wind_1	1	1
Horse_Hollow_Wind_1	2	1
Horse_Hollow_Wind_2	1	1
Horse_Hollow_Wind_2	2	1
Horse_Hollow_Wind_3	1	1
Horse_Hollow_Wind_3	2	1
Horse_Hollow_Wind_4	1	1
Horse_Hollow_Wind_4	2	1
Inadale_Wind	1	1
Inadale_Wind	2	1
Indian_Mesa_Wind_Farm	1	1
Indian_Mesa_Wind_Farm	2	1
Javelina_Wind_Energy	1	1
Javelina_Wind_Energy	2	1
Jumbo_Road_Wind_1	1	1
Jumbo_Road_Wind_1	2	1
Jumbo_Road_Wind_2	1	1
Jumbo_Road_Wind_2	2	1
Keechi_Wind_138_KV_Joplin	1	1
Keechi_Wind_138_KV_Joplin	2	1
King_Mountain_Wind_NE	1	1
King_Mountain_Wind_NE	2	1
King_Mountain_Wind_NW	1	1
King_Mountain_Wind_NW	2	1
King_Mountain_Wind_SE	1	1
King_Mountain_Wind_SE	2	1
King_Mountain_Wind_SW	1	1
King_Mountain_Wind_SW	2	1
Langford_Wind_Power	1	1
Langford_Wind_Power	2	1
Logan's_Gap_Wind_I_U1	1	1
Logan's_Gap_Wind_I_U1	2	1
Logan's_Gap_Wind_I_U2	1	1
Logan's_Gap_Wind_I_U2	2	1
Lone_Star_Wind_1_(Mesquite)	1	1
