GEN_TP_FUELS_1	GEN_TP_FUELS_2	GEN_TP_FUELS_3	GenFuelUseRate
Sand_Hill_Energy_Center_GT_1	2	NG	0.0
J_K_Spruce_2	11	Coal-Sub	0.0
Wise_County_Power_LP	5	NG	0.0
T_H_Wharton_GT_51	7	NG	0.0
T_H_Wharton_GT_52	4	NG	0.0
Winchester_Power_Park_2	9	NG	0.0
Tenaska_Frontier_Station	5	NG	0.0
Gibbons_Creek_1	9	Coal-Sub	0.0
Decker_Creek_2	4	NG	4504.5966
Cedar_Bayou_4	3	NG	0.0
R_W_Miller_1	12	NG	0.0
Monticello_U1	3	Coal-Sub	0.0
Silas_Ray_9	6	NG	584.3499999999999
Fayette_Power_Project_2	3	Coal-Sub	0.0
Lake_Hubbard_1	6	NG	0.0
Limestone_1	3	Coal-Sub	0.0
W_A_Parish_T1	7	NG	0.0
Leon_Creek_Peaking_3	5	NG	454.848
Winchester_Power_Park_4	3	NG	0.0
O_W_Sommers_2	6	NG	4295.5372
Monticello_U1	2	Coal-Sub	0.0
Victoria_Power_Station	5	NG	2520.5913
ExTex_La_Porte_Power_Station_AirPro_1	8	NG	0.0
O_W_Sommers_2	10	NG	4295.5372
Morgan_Creek_5	4	NG	0.0
Sand_Hill_Energy_Center_5a	10	NG	0.0
J_T_Deely_1	2	Coal-Sub	0.0
Lufkin_Biomass	2	Biomass	0.0
Powerlane_Plant_3	11	NG	0.0
Bastrop_Energy_Center_1	6	NG	4299.30059
Sam_Rayburn_GT_2	1	NG	0.0
Powerlane_Plant_3	6	NG	0.0
Baytown_Energy_Center	4	NG	0.0
W_A_Parish_7	1	Coal-Sub	0.0
Paris_Energy_Center_1	5	NG	0.0
R_W_Miller_4	7	NG	0.0
Martin_Lake_1	11	Coal-Lig	0.0
Dansby_2	9	NG	0.0
San_Jacinto_SES_CTG_1	9	NG	1092.54825
Lake_Hubbard_2	2	NG	0.0
W_A_Parish_2	4	NG	1945.77812
Winchester_Power_Park_2	8	NG	0.0
Tenaska_Frontier_Station	2	NG	6430.3096000000005
Powerlane_Plant_2	4	NG	0.0
San_Jacinto_SES_CTG_2	3	NG	1098.91647
T_H_Wharton_GT_56	12	NG	0.0
Twin_Oaks_1	10	Coal-Lig	0.0
Cedar_Bayou_1	2	NG	0.0
Handley_5	3	NG	0.0
Dansby_1	3	NG	0.0
Powerlane_Plant_3	1	NG	0.0
Lake_Hubbard_1	7	NG	0.0
Comanche_Peak_U1	4	Uranium	12653.705
T_H_Wharton_GT_54	10	NG	0.0
W_A_Parish_3	4	NG	2971.7661
Decker_Creek_1	5	NG	3278.00025
Sandow_U5	11	Coal-Lig	0.0
Pasadena_Cogeneration	9	NG	5617.3403
Twin_Oaks_1	7	Coal-Lig	0.0
O_W_Sommers_2	11	NG	4295.5372
Morgan_Creek_5	7	NG	0.0
Channelview_Cogen_Plant	8	NG	5694.26655
T_H_Wharton_G_1	9	NG	0.0
Leon_Creek_Peaking_2	6	NG	0.0
Pearsall_IC_Engine_Plant_A	1	NG	0.0
Houston_Chemical_Complex_Battleground	8	NG	499.7
Sam_Rayburn_GT_2	2	NG	0.0
Trinidad_6	10	NG	0.0
Baytown_Energy_Center	5	NG	7429.098924
Leon_Creek_Peaking_4	6	NG	0.0
Greens_Bayou_84	5	NG	0.0
T_H_Wharton_GT_51	4	NG	0.0
