GEN_TPS_1	GEN_TPS_2	DispatchGen
Hydro_LCRA_LZ	1	280.0
Hydro_North_LZ	2	51.5999999999987
Channel_Energy_Center	1	686.6
Green_Power_2	1	0.0
Magic_Valley_Wind_(Redfish)_1A	1	49.9
Pyron_Wind_Farm	1	124.5
Lufkin_Biomass	2	45.0
Wolf_Hollow_Power_Proj_1	2	0.0
Panda_Temple_II_STG	2	0.0
Morgan_Creek_4	2	0.0
Horse_Hollow_Wind_1	2	103.3
Capricorn_Ridge_Wind_1	1	107.25
Trinity_Hills_Wind_1	2	58.75
SunEdison_Somerset_2_Solar	1	2.5
ExTex_La_Porte_Power_Station_AirPro_2	2	0.0
Morgan_Creek_1	1	0.0
V_H_Braunig_5	2	0.0
Bastrop_Energy_Center_1	1	335.800000000004
Sherbino_2_Wind	2	0.0
T_H_Wharton_GT_54	2	0.0
Javelina_Wind_Energy	2	125.0
R_W_Miller_5	1	0.0
Hereford_Wind_V	2	50.0
Gibbons_Creek_1	2	0.0
ExTex_La_Porte_Power_Station_AirPro_4	2	0.0
Forest_Creek_Wind_Farm	1	62.1
Sand_Hill_Energy_Center_GT_3	1	0.0
Tenaska_Gateway_Station	2	0.0
Optim_Energy_Altura_Cogen	2	0.0
King_Mountain_Wind_NW	2	39.65
Big_Brown_1	2	0.0
Freestone_Energy_Center_1	1	957.3
Anacacho_Wind	1	49.9
Texas_Big_Spring_Wind_B	1	3.3
Ray_Olinger_4	2	0.0
Callahan_Wind	1	57.0
Houston_Chemical_Complex_Battleground	1	52.6
West_Texas_Wind_Energy	2	0.0
T_H_Wharton_3	2	0.0
Inadale_Wind	1	98.3
Desert_Sky_Wind_Farm_2	2	38.25
Pearsall_IC_Engine_Plant_C	2	0.0
Graham_2	1	390.0
Indian_Mesa_Wind_Farm	1	41.25
Sweetwater_Wind_2A	1	7.95
V_H_Braunig_3	1	0.0
SunEdison_CPS3_Somerset_1_Solar	1	2.79999999999725
Lake_Hubbard_1	2	0.0
Winchester_Power_Park_3	2	0.0
Cedar_Bayou_1	1	745.0
Buffalo_Gap_Wind_Farm_2_1	1	57.75
Sand_Hill_Energy_Center_GT_4	1	0.0
R_W_Miller_2	1	120.0
W_A_Parish_T1	1	0.0
Lone_Star_Wind_2_(Post_Oak)_U1	2	50.0
Colorado_Bend_Energy_Center_1	2	0.0
Greenville_Powerlane_IC1	1	8.4
J_T_Deely_1	2	0.0
Texas_Big_Spring_Wind_A	1	13.85
DeCordova_1	1	0.0
Ray_Olinger_2	1	0.0
Leon_Creek_Peaking_3	1	46.0
Champion_Wind_Farm	2	63.25
Miami_Wind_G1	1	72.15
Morgan_Creek_2	2	0.0
Sweetwater_Wind_3B	1	50.25
Goat_Wind	1	40.0
Horse_Hollow_Wind_4	1	54.0
Hackberry_Wind_Farm	1	81.75
Dansby_1	1	107.0
V_H_Braunig_1	1	0.0
Hydro_RCEC_LZ	2	20.0
Oak_Grove_SES_Unit_1	2	0.0
SunEdison_Rabel_Road_Solar	2	4.95
Pearsall_2	2	0.0
Monticello_U3	2	0.0
Los_Vientos_Wind_III	1	100.0
Graham_1	1	234.0
Green_Mountain_Wind_(Brazos)_U1	2	49.5
Rattlesnake_Den_Wind_1_G1	2	0.0
Panhandle_Wind_2_U2	1	48.3
Sweetwater_Wind_4-5	1	39.6
Houston_Area_LFG	1	24.5
Sweeny_Cogen_Facility	1	0.0
Gulf_Wind_I	1	70.8
Sand_Hill_Energy_Center_GT_6	2	0.0
Jack_County_Generation_Facility_2	2	0.0
Equistar_Corpus_Christi	2	12.0
Gregory_Power_Facility	1	388.5
Sandy_Creek_1	2	0.0
Arthur_Von_Rosenberg_1	1	0.0
Handley_5	2	245.925
Ray_Olinger_1	1	0.0
B_M_Davis_3	1	0.0
Leon_Creek_Peaking_4	1	46.0
Buffalo_Gap_Wind_Farm_1	1	60.3
Stephens_Ranch_Wind_1	2	0.0
J_K_Spruce_2	1	514.1
South_Texas_U1	2	1286.0
Trinidad_6	2	0.0
Brazos_Valley_1	1	602.0
Wolf_Ridge_Wind	1	56.25
Cedar_Bayou_2	2	749.0
Greens_Bayou_84	1	0.0
Green_Pastures_Wind_2	1	75.0
SunEdison_Valley_Road_Solar	2	4.95
Jumbo_Road_Wind_2	1	76.8
Lone_Star_Wind_1_(Mesquite)	2	100.0
T_H_Wharton_GT_51	2	0.0
ExTex_La_Porte_Power_Station_AirPro_1	2	0.0
O_W_Sommers_2	2	0.0
Loraine_Windpark_IV	2	12.0
Pearsall_IC_Engine_Plant_B	2	0.0
Wise_County_Power_LP	2	0.0
Greenville_Powerlane_IC2	2	8.4
Magic_Valley_Station	2	0.0
Wolf_Flats_Wind_(Wind_Mgt)	1	0.5
Spencer_4	1	0.0
Tenaska_Kiamichi_Station_1	1	0.0
Camp_Springs_Wind_2	1	60.0
R_W_Miller_4	2	0.0
T_H_Wharton_4	2	0.0
Spinning_Spur_3_Wind_1	2	0.0
Dansby_2	2	0.0
Capricorn_Ridge_Wind_3	2	74.75
Langford_Wind_Power	2	77.5
Loraine_Windpark_II	2	25.5
Wichita_Falls_Cogeneration_Plant	2	0.0
ExTex_La_Porte_Power_Station_AirPro_3	1	0.0
Turkey_Track_Wind_Energy_Center	2	0.0
Oyster_Creek_Unit_VIII	2	0.0
T_H_Wharton_GT_55	1	0.0
South_Texas_U2	2	1295.0
Roscoe_Wind_Farm	1	104.5
Lake_Hubbard_2	2	0.0
Silas_Ray_10	1	0.0
R_W_Miller_1	2	0.0
Sandow_U5	2	0.0
Jumbo_Road_Wind_1	1	73.1
Deer_Park_Energy_Center_1	1	1152.0
Sand_Hill_Energy_Center_GT_1	2	0.0
Victoria_Texas_Plant	1	0.0
Lone_Star_Wind_2_(Post_Oak)_U2	2	50.0
W_A_Parish_8	2	0.0
Notrees_Battery_Facility	1	36.0
Decker_Creek_G2	2	0.0
Pearsall_IC_Engine_Plant_D	1	0.0
V_H_Braunig_8	1	0.0
Panther_Creek_3	1	99.75
Pecos_Wind_(Woodward_1)	1	41.25
Nacogdoches_Power	1	105.0
Sand_Bluff_Wind_Farm	1	45.0
Sweetwater_Wind_4-4B	1	51.85
Los_Vientos_Wind_I	2	100.05
Blue_Wing_1_Solar	2	3.8
Camp_Springs_Wind_1	1	65.25
Johnson_County	2	0.0
Morgan_Creek_5	2	0.0
T_H_Wharton_G_1	2	0.0
Pearsall_IC_Engine_Plant_C	1	0.0
Mountain_Creek_6	1	122.0
W_A_Parish_3	1	0.0
W_A_Parish_6	1	0.0
B_M_Davis_1	1	0.0
Greens_Bayou_73	2	0.0
Permian_Basin_4	2	0.0
Oak_Grove_SES_Unit_2	2	0.0
Penascal_Wind_1	1	80.4
T_H_Wharton_GT_56	1	0.0
Brazos_Valley_1	2	602.0
Cedar_Bayou_4	2	504.0
Elbow_Creek_Wind	2	59.35
Papalote_Creek_Wind_Farm	2	89.95
Permian_Basin_1	1	0.0
Mountain_Creek_8	2	0.0
Lamar_Power_Project_1	2	0.0
Winchester_Power_Park_2	1	0.0
T_H_Wharton_GT_53	2	0.0
Hydro_RCEC_LZ	1	40.0
Dallas-Fort_Worth_Area_LFG	2	35.8
Midlothian_2	1	504.0
Sweetwater_Wind_1	2	0.0
Sim_Gideon_3	2	0.0
Victoria_Power_Station	1	0.0
Spinning_Spur_3_Wind_2	1	49.0
Panther_Creek_1	2	71.25
Logan's_Gap_Wind_I_U1	2	51.9
Spinning_Spur_Wind_Two	2	0.0
Ferguson_Replacement	2	502.7
Greens_Bayou_5	1	371.0
Nueces_Bay_8	1	0.0
Goldthwaite_Wind_1	2	74.3
Morgan_Creek_3	1	0.0
W_A_Parish_4	1	0.0
Oklaunion_1	1	0.0
Stryker_Creek_2	1	0.0
Fayette_Power_Project_3	1	0.0
Lost_Pines_1	1	528.0
Cedar_Bayou_1	2	745.0
Bosque_County_CC_1	1	514.0
Sim_Gideon_1	2	0.0
Los_Vientos_Wind_II	2	100.8
Monticello_U2	1	0.0
Tenaska_Kiamichi_Station_1	2	0.0
O_W_Sommers_1	2	0.0
Texas_City_1	2	0.0
King_Mountain_Wind_SW	2	39.65
Winchester_Power_Park_1	1	0.0
C_R_Wing_Cogen_Plant	2	0.0
WKN_Mozart_Wind	1	15.0
Decker_Creek_G4	2	0.0
Wichita_Falls_Cogeneration_Plant	1	0.0
DeCordova_4	1	0.0
Winchester_Power_Park_4	2	0.0
Magic_Valley_Wind_(Redfish)_1A	2	49.9
Blue_Summit_Wind_5	1	4.5
Panda_Temple_II_STG	1	334.7
Freeport_Energy_Center	1	63.4
Rio_Nogales_1	1	0.0
Horse_Hollow_Wind_1	1	103.3
Powerlane_Plant_3	2	0.0
Guadalupe_Generating_Station_1	1	986.0
Comanche_Peak_U2	2	1195.0
Green_Mountain_Wind_(Brazos)_U2	1	30.5
Graham_1	2	0.0
Sherbino_1_Wind	1	75.0
Penascal_Wind_2	2	70.8
Acacia_Solar	2	0.0
Stryker_Creek_1	1	0.0
V_H_Braunig_5	1	0.0
